!! Predictions spanning range 1847 - 84476 [R1]
# EVM prediction: Mode:STANDARD S-ratio: 3.00 1847-3418 orient(+) score(4716.00) noncoding_equivalent(1572.00) raw_noncoding(1572.00) offset(0.00) 
1847	3418	single+	1	3	{Augustus_model.g2783.t1;Augustus},{GeneMark_model.3600_t;GeneMark},{GlimmerHMM_glimmerT_3379-T1;GlimmerHMM}
79151	79095	INTRON			{GlimmerHMM_glimmerT_3404-T1;GlimmerHMM},{Augustus_model.g2806.t1;Augustus},{GeneMark_model.3627_t;GeneMark}
79403	79152	internal-	4	6	{GlimmerHMM_glimmerT_3404-T1;GlimmerHMM},{Augustus_model.g2806.t1;Augustus},{GeneMark_model.3627_t;GeneMark}
79465	79404	INTRON			{GlimmerHMM_glimmerT_3404-T1;GlimmerHMM},{Augustus_model.g2806.t1;Augustus},{GeneMark_model.3627_t;GeneMark}
79613	79466	internal-	6	6	{GlimmerHMM_glimmerT_3404-T1;GlimmerHMM},{Augustus_model.g2806.t1;Augustus},{GeneMark_model.3627_t;GeneMark}
79690	79614	INTRON			{GlimmerHMM_glimmerT_3404-T1;GlimmerHMM},{Augustus_model.g2806.t1;Augustus},{GeneMark_model.3627_t;GeneMark}
80046	79691	internal-	4	5	{GlimmerHMM_glimmerT_3404-T1;GlimmerHMM},{Augustus_model.g2806.t1;Augustus},{GeneMark_model.3627_t;GeneMark}
80118	80047	INTRON			{GlimmerHMM_glimmerT_3404-T1;GlimmerHMM},{Augustus_model.g2806.t1;Augustus},{GeneMark_model.3627_t;GeneMark}
80217	80119	internal-	4	6	{GlimmerHMM_glimmerT_3404-T1;GlimmerHMM},{Augustus_model.g2806.t1;Augustus},{GeneMark_model.3627_t;GeneMark}
80288	80218	INTRON			{GlimmerHMM_glimmerT_3404-T1;GlimmerHMM},{Augustus_model.g2806.t1;Augustus},{GeneMark_model.3627_t;GeneMark},{ev_type:exonerate/ID=match.2566964.3100/Target=lcl|KQ954486_1_prot_KWU43773_1_3936;exonerate}
80466	80289	internal-	6	6	{GlimmerHMM_glimmerT_3404-T1;GlimmerHMM},{Augustus_model.g2806.t1;Augustus},{GeneMark_model.3627_t;GeneMark},{ev_type:exonerate/ID=match.2566964.3100/Target=lcl|KQ954486_1_prot_KWU43773_1_3936;exonerate}
80560	80467	INTRON			{GlimmerHMM_glimmerT_3404-T1;GlimmerHMM},{Augustus_model.g2806.t1;Augustus},{GeneMark_model.3627_t;GeneMark},{ev_type:exonerate/ID=match.2566964.3100/Target=lcl|KQ954486_1_prot_KWU43773_1_3936;exonerate}
80752	80561	internal-	6	5	{GlimmerHMM_glimmerT_3404-T1;GlimmerHMM},{Augustus_model.g2806.t1;Augustus},{GeneMark_model.3627_t;GeneMark},{ev_type:exonerate/ID=match.2566964.3100/Target=lcl|KQ954486_1_prot_KWU43773_1_3936;exonerate}
80825	80753	INTRON			{GlimmerHMM_glimmerT_3404-T1;GlimmerHMM},{Augustus_model.g2806.t1;Augustus},{GeneMark_model.3627_t;GeneMark},{ev_type:exonerate/ID=match.2566964.3100/Target=lcl|KQ954486_1_prot_KWU43773_1_3936;exonerate}
81115	80826	internal-	4	5	{GlimmerHMM_glimmerT_3404-T1;GlimmerHMM},{Augustus_model.g2806.t1;Augustus},{GeneMark_model.3627_t;GeneMark},{ev_type:exonerate/ID=match.2566964.3100/Target=lcl|KQ954486_1_prot_KWU43773_1_3936;exonerate}
81186	81116	INTRON			{GlimmerHMM_glimmerT_3404-T1;GlimmerHMM},{Augustus_model.g2806.t1;Augustus},{GeneMark_model.3627_t;GeneMark},{ev_type:exonerate/ID=match.2566964.3100/Target=lcl|KQ954486_1_prot_KWU43773_1_3936;exonerate}
81283	81187	internal-	6	6	{GlimmerHMM_glimmerT_3404-T1;GlimmerHMM},{Augustus_model.g2806.t1;Augustus},{GeneMark_model.3627_t;GeneMark},{ev_type:exonerate/ID=match.2566964.3100/Target=lcl|KQ954486_1_prot_KWU43773_1_3936;exonerate}
81381	81284	INTRON			{GlimmerHMM_glimmerT_3404-T1;GlimmerHMM},{Augustus_model.g2806.t1;Augustus},{GeneMark_model.3627_t;GeneMark},{ev_type:exonerate/ID=match.2566964.3100/Target=lcl|KQ954486_1_prot_KWU43773_1_3936;exonerate}
81545	81382	internal-	4	5	{GlimmerHMM_glimmerT_3404-T1;GlimmerHMM},{Augustus_model.g2806.t1;Augustus},{GeneMark_model.3627_t;GeneMark},{ev_type:exonerate/ID=match.2566964.3100/Target=lcl|KQ954486_1_prot_KWU43773_1_3936;exonerate}
81628	81546	INTRON			{GlimmerHMM_glimmerT_3404-T1;GlimmerHMM},{Augustus_model.g2806.t1;Augustus},{GeneMark_model.3627_t;GeneMark},{ev_type:exonerate/ID=match.2566964.3100/Target=lcl|KQ954486_1_prot_KWU43773_1_3936;exonerate}
81739	81629	internal-	4	6	{Augustus_model.g2806.t1;Augustus},{GeneMark_model.3627_t;GeneMark}
81799	81740	INTRON			{GeneMark_model.3627_t;GeneMark}
81872	81800	internal-	6	6	{GeneMark_model.3627_t;GeneMark}
81925	81873	INTRON			{Augustus_model.g2806.t1;Augustus},{GeneMark_model.3627_t;GeneMark}
81942	81926	initial-	4	5	{Augustus_model.g2806.t1;Augustus},{GeneMark_model.3627_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 3.59 82177-84476 orient(+) score(7674.00) noncoding_equivalent(2137.75) raw_noncoding(2321.00) offset(183.25) 
82177	83023	initial+	1	1	{Augustus_model.g2807.t1;Augustus},{GlimmerHMM_glimmerT_3405-T1;GlimmerHMM}
83024	83088	INTRON			{Augustus_model.g2807.t1;Augustus},{GeneMark_model.3628_t;GeneMark},{GlimmerHMM_glimmerT_3405-T1;GlimmerHMM}
83089	83317	internal+	2	2	{Augustus_model.g2807.t1;Augustus},{GeneMark_model.3628_t;GeneMark},{GlimmerHMM_glimmerT_3405-T1;GlimmerHMM}
83318	83385	INTRON			{Augustus_model.g2807.t1;Augustus},{GeneMark_model.3628_t;GeneMark},{GlimmerHMM_glimmerT_3405-T1;GlimmerHMM}
83386	83593	internal+	3	3	{Augustus_model.g2807.t1;Augustus},{GeneMark_model.3628_t;GeneMark},{GlimmerHMM_glimmerT_3405-T1;GlimmerHMM}
83594	83652	INTRON			{Augustus_model.g2807.t1;Augustus},{GeneMark_model.3628_t;GeneMark},{GlimmerHMM_glimmerT_3405-T1;GlimmerHMM}
83653	83883	internal+	1	3	{Augustus_model.g2807.t1;Augustus},{GeneMark_model.3628_t;GeneMark},{GlimmerHMM_glimmerT_3405-T1;GlimmerHMM}
83884	83945	INTRON			{snap_scaffold_8-snap.104-T1;snap},{Augustus_model.g2807.t1;Augustus},{GeneMark_model.3628_t;GeneMark},{GlimmerHMM_glimmerT_3405-T1;GlimmerHMM}
83946	84476	terminal+	1	3	{snap_scaffold_8-snap.104-T1;snap},{Augustus_model.g2807.t1;Augustus},{GeneMark_model.3628_t;GeneMark},{GlimmerHMM_glimmerT_3405-T1;GlimmerHMM}

